Feature,Importance
var38,1.000000
var15,0.655383
saldo_medio_var5_ult3,0.111242
saldo_medio_var5_hace3,0.103625
saldo_var30,0.094445
num_var45_ult3,0.068516
saldo_medio_var5_hace2,0.066033
saldo_var42,0.063755
num_var45_hace3,0.055194
saldo_medio_var5_ult1,0.054414
num_var22_ult3,0.048071
saldo_var5,0.046764
num_var45_hace2,0.046704
num_var45_ult1,0.033356
num_var22_hace3,0.033277
num_meses_var5_ult3,0.031059
num_var22_hace2,0.030720
var36,0.029828
num_med_var45_ult3,0.029616
num_var30,0.029137
num_meses_var39_vig_ult3,0.026929
ind_var30,0.026582
num_var22_ult1,0.024574
num_var35,0.024307
num_var4,0.023598
num_med_var22_ult3,0.015217
imp_op_var39_ult1,0.015061
imp_op_var41_ult1,0.014440
imp_op_var41_efect_ult3,0.014086
imp_op_var39_efect_ult3,0.014003
var3,0.013521
imp_op_var39_comer_ult3,0.012921
imp_op_var41_efect_ult1,0.012711
imp_op_var41_comer_ult3,0.012589
imp_trans_var37_ult1,0.012192
saldo_var37,0.011890
imp_op_var39_efect_ult1,0.011874
imp_op_var41_comer_ult1,0.010415
imp_ent_var16_ult1,0.010333
num_op_var41_ult3,0.010126
num_op_var39_ult3,0.009886
imp_op_var39_comer_ult1,0.009777
num_var42,0.009165
imp_var43_emit_ult1,0.008602
num_op_var39_comer_ult3,0.008140
num_op_var41_comer_ult3,0.007924
num_var41_0,0.007881
num_op_var39_hace2,0.007794
num_op_var41_hace2,0.007663
num_op_var39_efect_ult3,0.007518
num_var39_0,0.007481
num_var30_0,0.007368
num_op_var39_ult1,0.007236
num_op_var41_efect_ult3,0.007219
num_op_var41_ult1,0.007136
num_var43_recib_ult1,0.006737
saldo_var8,0.006576
num_op_var39_comer_ult1,0.006320
num_op_var41_comer_ult1,0.006258
saldo_medio_var8_ult1,0.006117
saldo_medio_var8_ult3,0.005716
num_ent_var16_ult1,0.005636
num_var43_emit_ult1,0.005520
ind_var5,0.005348
num_var42_0,0.005247
ind_var39_0,0.005219
ind_var41_0,0.005208
num_op_var39_efect_ult1,0.005017
num_op_var41_efect_ult1,0.004982
num_var37_0,0.004858
num_var37_med_ult2,0.004830
num_var5_0,0.004678
num_var5,0.004650
num_var8_0,0.004639
ind_var8_0,0.004549
saldo_var26,0.003288
saldo_medio_var8_hace2,0.003276
ind_var43_recib_ult1,0.003145
saldo_var13,0.003130
saldo_var25,0.002972
ind_var43_emit_ult1,0.002736
ind_var5_0,0.002535
saldo_medio_var12_ult1,0.002502
ind_var9_cte_ult1,0.002310
ind_var37_cte,0.002304
num_var12_0,0.002303
saldo_medio_var12_ult3,0.002234
saldo_var12,0.002213
ind_var12_0,0.002207
ind_var10cte_ult1,0.002183
num_meses_var8_ult3,0.002072
saldo_medio_var13_corto_ult3,0.001958
ind_var10_ult1,0.001955
ind_var37_0,0.001925
ind_var30_0,0.001887
ind_var9_ult1,0.001872
ind_var13,0.001795
saldo_medio_var13_corto_hace2,0.001737
num_trasp_var11_ult1,0.001724
num_var13,0.001723
num_op_var39_hace3,0.001705
num_var13_0,0.001684
saldo_medio_var12_hace2,0.001670
num_op_var41_hace3,0.001617
saldo_medio_var13_corto_ult1,0.001569
saldo_var24,0.001552
ind_var13_0,0.001519
saldo_var13_corto,0.001404
saldo_medio_var8_hace3,0.001366
num_sal_var16_ult1,0.001234
num_var24_0,0.001222
ind_var24_0,0.001220
num_var25_0,0.001198
num_var26_0,0.001174
imp_var7_recib_ult1,0.001141
imp_sal_var16_ult1,0.001115
var21,0.001026
ind_var26_cte,0.000902
num_var8,0.000836
ind_var8,0.000831
num_meses_var13_corto_ult3,0.000791
ind_var25_cte,0.000775
num_var14_0,0.000742
num_var7_recib_ult1,0.000736
ind_var7_recib_ult1,0.000734
num_meses_var12_ult3,0.000678
ind_var14_0,0.000654
num_var40_0,0.000637
num_var1_0,0.000610
saldo_medio_var12_hace3,0.000608
ind_var25_0,0.000600
ind_var1_0,0.000551
ind_var13_corto_0,0.000547
ind_var40_0,0.000535
ind_var26_0,0.000506
ind_var12,0.000506
imp_op_var40_efect_ult3,0.000483
num_var12,0.000472
imp_op_var40_ult1,0.000437
